gene_symbol,Zcchc2
pvalue,0.9801841
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_032_001
parameter_name,CD8 CD44+CD62L- T cells
gene_accession_id,MGI:2444114
analysis_id,ph83fl2ec06350b
