gene_symbol,Abo
parameter_name,Coat - hair texture / appearance - abdomen
mouse_strain,C57BL
parameter_id,IMPC_CSD_016_001
gene_accession_id,MGI:2135738
analysis_id,9ws4ew40b9vhxwk
pvalue,0.3128192
mouse_life_stage,Early adult
