parameter_name,Center average speed
analysis_id,w7tf01t8m31b761
pvalue,0.3845218
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
parameter_id,IMPC_OFD_017_001
gene_symbol,Eprs1
mouse_strain,C57BL
