analysis_id,9z2g88s97654997
parameter_id,IMPC_CBC_011_001
mouse_life_stage,E9.5
gene_accession_id,MGI:1917810
mouse_strain,C57BL
parameter_name,Iron
gene_symbol,Wars2
pvalue,0.2647879
