parameter_name,Dark side time spent
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
mouse_strain,C57BL
analysis_id,96xjmqj5ns149w9
gene_symbol,Ola1
gene_accession_id,MGI:1914309
pvalue,0.1267792
