analysis_id,9217ner6piupci0
parameter_name,KLRG1+ NK cells - % of CD45+
pvalue,0.3506332
gene_accession_id,MGI:2653612
mouse_life_stage,Early adult
gene_symbol,Amigo1
mouse_strain,C57BL
parameter_id,MGP_MLN_093_001
