analysis_id,99v4bs4b6wmx55f
parameter_id,MGP_IMM_081_001
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Exd1
gene_accession_id,MGI:3045306
pvalue,0.4529945
mouse_life_stage,Early adult
