analysis_id,h627xw75c1yo888
parameter_id,HMGULA_CBC_015_001
gene_accession_id,MGI:2444554
pvalue,0.9471788
mouse_strain,C57BL
parameter_name,Total cholesterol
gene_symbol,Mapkap1
mouse_life_stage,E15.5
