parameter_name,Shape of ribcage
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_059_001
gene_symbol,Ola1
pvalue,0.6167463
mouse_strain,C57BL
gene_accession_id,MGI:1914309
analysis_id,l4n8431yv2pmo50
