parameter_name,Shape of ribcage
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:1332236
pvalue,0.924878
parameter_id,IMPC_XRY_059_001
analysis_id,kw93xytxf29sb0h
gene_symbol,Cds2
