analysis_id,5sib8rp0o112s0r
mouse_strain,C57BL
parameter_name,Global prepulse inhibition
gene_accession_id,MGI:109585
parameter_id,ESLIM_011_001_705
mouse_life_stage,Early adult
gene_symbol,Pld1
pvalue,0.4544936
