parameter_id,IMPC_FEA_003_001
pvalue,0.09627755
parameter_name,Conditioning Baseline % Freezing Time
gene_symbol,Dnaaf9
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
mouse_strain,C57BL
analysis_id,ns23v60s2ruo22f
