parameter_name,cDCs CD11b Type
gene_symbol,Ubxn11
pvalue,0.8075061
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:1914836
analysis_id,y5mqcpc6e631w6a
mouse_strain,C57BL
mouse_life_stage,Early adult
