mouse_life_stage,E9.5
analysis_id,1i6969032e1q4ax
parameter_id,IMPC_FEA_106_001
gene_accession_id,MGI:1924315
mouse_strain,C57BL
pvalue,0.8033868
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_symbol,Ints7
