analysis_id,go3k602082f9542
parameter_id,MGP_IMM_020_001
parameter_name,Effector gd T cells - % of gd T cells
gene_accession_id,MGI:1346344
pvalue,0.8697154
mouse_strain,B6J
mouse_life_stage,Early adult
gene_symbol,NR0B2
