gene_symbol,Slc2a8
parameter_id,IMPC_CBC_018_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Glucose
pvalue,0.1265331
analysis_id,g77s2771odmlq1y
gene_accession_id,MGI:1860103
