analysis_id,449743b4o9i440a
parameter_name,Eosinophil cell count
gene_symbol,Cds2
pvalue,0.7813813
mouse_strain,129SV
parameter_id,IMPC_HEM_036_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
