parameter_name,B cell percentage
gene_symbol,Ola1
parameter_id,MGP_PBI_014_001
mouse_life_stage,E18.5
analysis_id,fc8s5u23n4uw47m
pvalue,0.6401791
mouse_strain,C57BL
gene_accession_id,MGI:1914309
