analysis_id,js1xc621d57z3c0
pvalue,0.5997673
parameter_name,Total T cell percentage
mouse_life_stage,E9.5
gene_symbol,Wars2
mouse_strain,C57BL
gene_accession_id,MGI:1917810
parameter_id,MGP_PBI_001_001
