parameter_name,Mean-cell-volume
gene_symbol,AU040320
pvalue,0.9559816
parameter_id,M-G-P_016_001_005
gene_accession_id,MGI:2140475
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,3j6h7i6v4jv62h7
