parameter_name,Clavicle
mouse_strain,C57BL
parameter_id,IMPC_XRY_007_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88328
gene_symbol,Tnfsf8
analysis_id,0l3q7f5nrs6i374
pvalue,0.9749305
