parameter_id,JAX_LDT_003_001
gene_symbol,Atg4c
gene_accession_id,MGI:2651854
mouse_strain,C57BL
analysis_id,009kkd2y74rjk5o
pvalue,0.5498717
mouse_life_stage,Early adult
parameter_name,Time mobile light side
