parameter_name,Tibia length
pvalue,0.8306843
gene_symbol,Psmd14
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
analysis_id,08x4v672uhhezk7
mouse_strain,C57BL
parameter_id,IMPC_XRY_033_001
