parameter_id,IMPC_DXA_004_001
mouse_life_stage,E9.5
pvalue,0.9963657
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
analysis_id,sptm9tploqawo8e
gene_symbol,Ints7
gene_accession_id,MGI:1924315
