gene_symbol,Dnajc6
parameter_name,Vibrissae - presence
parameter_id,JAXLA_CSD_023_001
mouse_strain,C57BL
analysis_id,63301i6t60648uf
gene_accession_id,MGI:1919935
mouse_life_stage,Early adult
pvalue,0.7678026
