analysis_id,33l7170y2k45t2u
parameter_name,Embryo turning
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446274
mouse_strain,C57BL
pvalue,0.6897652
gene_symbol,Frmpd1
parameter_id,IMPC_GEL_011_001
