parameter_name,Mean platelet volume
gene_symbol,Kcng1
parameter_id,IMPC_HEM_019_001
gene_accession_id,MGI:3616086
analysis_id,34twmku93b5r4y9
pvalue,0.6729654
mouse_strain,C57BL
mouse_life_stage,Early adult
