analysis_id,8913yhhjnc5oc88
parameter_name,Resting CD8+ T cells - % of CD45+
gene_accession_id,MGI:1345282
pvalue,0.3472998
mouse_strain,C57BL
parameter_id,MGP_IMM_082_001
gene_symbol,Slc30a4
mouse_life_stage,Late adult
