parameter_name,Shape of ribcage
mouse_strain,C57BL
parameter_id,IMPC_XRY_059_001
analysis_id,j6b7mt03pwd8ka3
gene_accession_id,MGI:1913396
mouse_life_stage,Early adult
gene_symbol,Maco1
pvalue,0.2265218
