gene_symbol,Galnt13
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:2139447
analysis_id,0vkb9qyy89fw879
parameter_id,CCP_LFO_001_001
parameter_name,Weight
pvalue,0.3675338
