analysis_id,hp1p09t4b517ymd
mouse_strain,C57BL
pvalue,0.3199128
mouse_life_stage,Early adult
parameter_name,Neutrophils
parameter_id,IMPC_IMM_050_001
gene_accession_id,MGI:1923029
gene_symbol,Dnaaf9
