analysis_id,9852z869s381xs9
gene_accession_id,MGI:1338022
parameter_name,Startle response
parameter_id,ESLIM_008_001_013
mouse_strain,C57BL
gene_symbol,Opn3
mouse_life_stage,Early adult
pvalue,0.9695224
