gene_symbol,Trp53i11
pvalue,0.05207022
analysis_id,989n63v6y778vc4
mouse_strain,C57BL
parameter_name,Periphery average speed
gene_accession_id,MGI:2670995
parameter_id,HRWLLA_OFD_013_001
mouse_life_stage,Early adult
