analysis_id,8lnmyoi13or773z
pvalue,0.2737916
mouse_life_stage,Early adult
gene_symbol,Sgip1
parameter_id,IMPC_GEL_057_001
mouse_strain,C57BL
gene_accession_id,MGI:1920344
parameter_name,Heart looping
