analysis_id,3vd416v7a602203
parameter_name,Whole arena resting time
gene_accession_id,MGI:1345282
pvalue,0.07298051
parameter_id,HRWLLA_OFD_007_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Slc30a4
