analysis_id,ztk43viyv67e4tq
gene_symbol,Snrpb2
pvalue,0.5622167
parameter_id,IMPC_HEM_036_001
gene_accession_id,MGI:104805
mouse_strain,C57BL
parameter_name,Eosinophil cell count
mouse_life_stage,Early adult
