analysis_id,19hx7ypza8469rw
mouse_life_stage,E12.5
gene_symbol,Eprs1
parameter_id,HRWLLA_OFD_013_001
pvalue,0.8846085
mouse_strain,C57BL
gene_accession_id,MGI:97838
parameter_name,Periphery average speed
