gene_symbol,Tiprl
mouse_life_stage,E9.5
parameter_id,MGP_PBI_003_001
mouse_strain,C57BL
parameter_name,CD4+ alpha beta T cell percentage
pvalue,0.7962011
gene_accession_id,MGI:1915087
analysis_id,5i0icb78947gu2y
