analysis_id,4g7423m5mw416r2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Ulna
pvalue,0.4844472
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
parameter_id,IMPC_XRY_023_001
