analysis_id,h3dkkkm66091i8h
gene_accession_id,MGI:894679
parameter_name,Bone Mineral Density (excluding skull)
mouse_life_stage,Early adult
pvalue,3.120726e-07
mouse_strain,C57BL
parameter_id,IMPC_DXA_004_001
gene_symbol,Bach2
