analysis_id,q0lq689551sv8m8
pvalue,0.5758257
gene_symbol,Tiprl
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
mouse_strain,C57BL
parameter_name,Transitional B Cells (CD21/35 low)
parameter_id,IMPC_IMM_069_001
