analysis_id,67o247307b3t69m
parameter_name,Ly6Clow monocyte number
parameter_id,MGP_PBI_038_001
mouse_life_stage,Early adult
pvalue,0.671434
mouse_strain,C57BL
gene_symbol,Cntfr
gene_accession_id,MGI:99605
