gene_symbol,Gfi1b
mouse_strain,C57BL
pvalue,0.8772639
analysis_id,5f2hjdj3473ajq3
parameter_name,DN CD44+CD62L+ NKT cells
parameter_id,IMPC_IMM_047_001
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
