gene_symbol,Cpa3
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
parameter_id,IMPC_ACS_037_001
pvalue,0.2482119
parameter_name,% Pre-pulse inhibition - Global
mouse_strain,C52BL
analysis_id,9u19i2839rk0q28
