analysis_id,au2m94552023x5r
gene_symbol,Tiprl
parameter_id,JAXLA_GRS_011_001
pvalue,0.5030921
gene_accession_id,MGI:1915087
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
