gene_symbol,Rnf114
parameter_id,IMPC_CBC_005_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1933159
parameter_name,Creatinine
analysis_id,080i2oc748rj9tj
pvalue,0.6333912
mouse_strain,C57BL
