gene_symbol,Atf3
parameter_id,M-G-P_008_001_013
gene_accession_id,MGI:109384
parameter_name,Startle Response
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8943262
analysis_id,k2zr248nlwr78tc
