parameter_name,Caudal processes
pvalue,0.8408081
parameter_id,IMPC_XRY_067_001
gene_symbol,Slc28a2
gene_accession_id,MGI:1913105
analysis_id,63104vt8sf9k67x
mouse_strain,C57BL
mouse_life_stage,Early adult
