gene_symbol,Cpa3
pvalue,0.1588113
analysis_id,1v2p02n44h9905n
gene_accession_id,MGI:88479
mouse_strain,C57BL
parameter_name,Body position
parameter_id,ESLIM_008_001_001
mouse_life_stage,Early adult
