gene_symbol,Tatdn3
analysis_id,470m9q0f4aq39s7
parameter_id,JAX_OFD_012_001
mouse_life_stage,Early adult
pvalue,0.5708456
mouse_strain,C57BL
gene_accession_id,MGI:1916222
parameter_name,Periphery permanence time
