gene_symbol,Ppm1j
analysis_id,4f71p9009c525ij
pvalue,0.3880273
mouse_strain,C57BL
parameter_id,ESLIM_011_001_002
mouse_life_stage,Early adult
gene_accession_id,MGI:1919137
parameter_name,PP1 startle magnitude
