parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:2685266
parameter_name,Placenta Morphology
analysis_id,9e61negtve889zk
gene_symbol,Pglyrp3
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7890789
