gene_symbol,Lamb3
parameter_id,ESLIM_011_001_002
pvalue,0.7510993
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:99915
analysis_id,5258rt6pz13662t
parameter_name,PP1 startle magnitude
