gene_symbol,Nanp
mouse_life_stage,E18.5
gene_accession_id,MGI:1914561
pvalue,0.6385254
parameter_name,Fasted blood glucose concentration
mouse_strain,C57BL
analysis_id,qs1by6783iv35tp
parameter_id,IMPC_IPG_010_001
