analysis_id,g6mr519am83zo5m
pvalue,0.5508159
parameter_name,Alkaline phosphatase
gene_symbol,Atf3
gene_accession_id,MGI:109384
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_014_001
mouse_strain,C57BL
