parameter_id,TCPLA_CSD_030_001
gene_accession_id,MGI:2673000
analysis_id,w8155588161319z
mouse_strain,C50BL
mouse_life_stage,Early adult
parameter_name,Tremor
pvalue,0.8528521
gene_symbol,Trim46
