gene_symbol,Mov10
mouse_strain,C57BL
gene_accession_id,MGI:97054
pvalue,0.7581732
mouse_life_stage,Early adult
parameter_name,Total CD8+ T cells - % of ab T cells
analysis_id,lr959b48d1uan29
parameter_id,MGP_IMM_013_001
