gene_symbol,Snrpb2
gene_accession_id,MGI:104805
mouse_strain,C57BL
parameter_id,MGP_PBI_002_001
analysis_id,w14808m794t5496
parameter_name,Alpha beta T cell percentage
pvalue,0.2111574
mouse_life_stage,Early adult
