analysis_id,2axg62642l85g6z
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
pvalue,0.5502543
parameter_name,Total CD4+ T cells - % of CD45+
parameter_id,MGP_MLN_064_001
mouse_strain,C57BL
gene_symbol,Steap3
