analysis_id,5582q879i6t0907
parameter_name,LDL-cholesterol
pvalue,0.2107659
gene_accession_id,MGI:95457
gene_symbol,Mecom
parameter_id,IMPC_CBC_025_001
mouse_strain,C57BL
mouse_life_stage,E12.5
