analysis_id,32xof175681v1rq
pvalue,0.348064
mouse_life_stage,Early adult
gene_symbol,Mms22l
parameter_name,Zygomatic bone
parameter_id,IMPC_XRY_002_001
gene_accession_id,MGI:2684980
mouse_strain,C57BL
