analysis_id,7y3476y769297i9
gene_accession_id,MGI:1913483
pvalue,0.1000437
gene_symbol,Dmap1
mouse_life_stage,E9.5
parameter_id,MGP_IMM_079_001
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_strain,C57BL
