parameter_id,MGP_IMM_073_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.7915151
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
parameter_name,Effector CD4+ T helper cells - % of CD45+
analysis_id,3ux964g23q9u4ri
