analysis_id,r43913912wj459f
pvalue,0.6097717
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,KLRG1+ mature NK cell percentage
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_id,MGP_PBI_011_001
